Order,Part Number,Quantity,Balance,Total Price,Value of Balance,Customer Number,Customer Name,Due Date,Part Description,Unit,Curr,Total Price ($),Date of Execution,Order Status,Territory Name,Family Description,Country,Sales Rep Name,is_executed
SO24000048,MRK0000903Rev.001ww,1,1,0.0,0.0,101821,Vie Salon,2024-01-16,Rapid Smooth Decal,ea,CAD,0.0,2024-01-16,Confirmed,Ontario Beauty,Default part family,Canada,Sanoja Desa,True
SO24000049,S4 Yearly Warranty,3,3,4740.0,4740.0,100682,Aion Wellness Studio (Chandra Rose Beauty),2024-01-16,Additional 1 Year Bumper to Bumper Warranty,ea,CAD,0.0,2024-01-16,Confirmed,Saskatchewan,Warranty,Canada,Becki Playtar,True
SO24000074,Train-1,1,1,0.0,0.0,101568,High Tide Tattoo Studio,2024-01-26,Training & Certification,ea,CAD,0.0,2024-01-26,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000091,Train-1,1,1,1250.0,1250.0,101616,Studio Mina Academy Inc.,2024-01-31,Training & Certification,ea,CAD,1250.0,2024-01-31,Confirmed,British Columbia,Default part family,Canada,General,True
SO24000093,30-034,2,1,0.0,0.0,101814,B You Laser & Aesthetic Ltd,2024-02-02,Wall-mount Hand Piece Rack,ea,CAD,0.0,2024-02-02,Paid,Alberta,Default part family,Canada,Kathie Abou-Mechrek,True
SO24000098,PRD-DPC-HR635,-3,-2,-1779.99,-1186.66,100671,Beautiful You Laser and MediSpa (Cindy Spa),2024-02-02,Hand Piece 6.4/635 Hair Removal,ea,CAD,-1779.99,2024-02-02,Confirmed,Alberta,Handles,Canada,General,True
SO24000099,MRK00900_PROrev.001ww,1,1,0.0,0.0,101834,Marie's Beauty and Spa,2024-02-02,Rapid DPC PRO Decal,ea,CAD,0.0,2024-02-03,Confirmed,Ontario Beauty,Default part family,Canada,Nellie Mahravan,True
SO24000100,PRD-DPC-HR635,-4,-1,-1000.0,-250.0,100973,Permanently You,2024-02-02,Hand Piece 6.4/635 Hair Removal,ea,CAD,-1000.0,2024-02-02,Confirmed,Ontario Beauty,Handles,Canada,General,True
SO24000103,Train-1,1,1,0.0,0.0,100964,2657363 Ontario Inc. o/a Ice21,2024-02-05,Training & Certification,ea,CAD,0.0,2024-02-05,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000107,PRD-DPC-DUALVP,-1,-1,-2000.0,-2000.0,101064,"Essence Medical (Cornerbrook, NL)",2024-02-08,Hand Piece 1.5 VP2,ea,CAD,-2000.0,2024-02-08,Confirmed,Newfoundland,Handles,Canada,General,True
SO24000112,Train-1,2,2,0.0,0.0,101767,Maryam Beauty Clinic Inc,2024-02-08,Training & Certification,ea,CAD,0.0,2024-02-08,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000113,Train-1,1,1,0.0,0.0,101011,Mirage Sugaring Studio,2024-02-08,Training & Certification,ea,CAD,0.0,2024-02-08,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000115,MRK00900_PROrev.001ww,1,1,0.0,0.0,101828,Hat & Mallet Flooring Inc.,2024-02-08,Rapid DPC PRO Decal,ea,CAD,0.0,2024-02-26,Paid,Ontario Beauty,Default part family,Canada,Nellie Mahravan,True
SO24000129,Train-2,1,1,312.5,312.5,101542,Essentique Salon & Spa,2024-02-14,Training & Certification,ea,CAD,312.5,2024-02-14,Confirmed,Manitoba,Default part family,Canada,General,True
SO24000140,PRD-DPC-HR635,-1,-1,-900.0,-900.0,101386,Manny's Hair Design,2024-02-21,Hand Piece 6.4/635 Hair Removal,ea,CAD,-900.0,2024-02-21,Confirmed,British Columbia,Handles,Canada,General,True
SO24000152,Train-1,1,1,1000.0,1000.0,100971,Envy Spa & Massage,2024-02-21,Training & Certification,ea,CAD,1000.0,2024-02-21,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000153,Train-1,1,1,1250.0,1250.0,101724,MC Asthetics Ltd,2024-02-21,Training & Certification,ea,CAD,1250.0,2024-02-21,Confirmed,Alberta,Default part family,Canada,General,True
SO24000154,Train-1,1,1,750.0,750.0,101271,Your Choice Salon & Spa,2024-02-21,Training & Certification,ea,CAD,750.0,2024-02-21,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000155,Train-1,1,1,0.0,0.0,101751,Jasmine Flower Spa,2024-02-21,Training & Certification,ea,CAD,0.0,2024-02-21,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000160,PRD-DPC-HR635R,-1,-1,-801.0,-801.0,100997,Elite Spa Group,2024-02-22,HR635 Hand Piece,ea,CAD,-801.0,2024-02-22,Confirmed,Ontario Beauty,Used Handle,Canada,General,True
SO24000161,Train-1,1001,1001,750.0,750.0,101165,Skyn Med (Tiffany Chatland & Sarah Vincent),2024-02-22,Training & Certification,ea,CAD,0.0,2024-02-22,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000166,MRK-00268,1,1,0.0,0.0,101795,Glow Beauty Lounge,2024-02-26,Poster for clinic formax plus,ea,CAD,0.0,2024-02-26,Paid,Alberta,Marketing Parts,Canada,Mellissa Vella,True
SO24000187,ASS-00458-S,1,1,655.0,655.0,100756,Fourth Avenue Medical(Amara Medical Aesthetics),2024-03-05,RF Tip 12mm,ea,CAD,655.0,2024-03-05,Confirmed,Ontario Beauty,Default part family,Canada,Carmela Cerbini,True
SO24000189,MRK0000903Rev.001ww,1,1,0.0,0.0,101851,Brava Estheticienne,2024-03-06,Rapid Smooth Decal,ea,CAD,0.0,2024-04-15,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000189,MRK00266SMOOTH_CA,1,1,0.0,0.0,101851,Brava Estheticienne,2024-03-06,Rapid Smooth Roll Up Banner,ea,CAD,0.0,2024-04-15,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000194,Train-2,1,1,750.0,750.0,101332,1000164686 Ontario Inc O/A TKV Beauty Bar,2024-03-07,Training & Certification,ea,CAD,750.0,2024-03-07,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000201,Train-2,3,3,2250.0,2250.0,101029,Clinique Bo-T Pure,2024-03-08,Training & Certification,ea,CAD,2250.0,2024-03-08,Confirmed,Quebec,Default part family,Canada,General,True
SO24000214,Train-1,5,4,0.0,0.0,101861,4ever Inked Beauty Inc,2024-03-14,Training & Certification,ea,CAD,0.0,2024-04-10,Confirmed,Alberta,Default part family,Canada,Kathie Abou-Mechrek,True
SO24000217,PRD-DPC-HR635,-1,-1,-1000.0,-1000.0,101247,Ottawa SMP,2024-03-15,Hand Piece 6.4/635 Hair Removal,ea,CAD,-1000.0,2024-03-15,Confirmed,Ontario Beauty,Handles,Canada,General,True
SO24000219,Train-1,1,1,750.0,750.0,101667,2233464 Ontario Inc. DBA Kaizen Health Group,2024-03-15,Training & Certification,ea,CAD,750.0,2024-03-21,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000220,MRK00900_PROrev.001ww,1,1,0.0,0.0,101862,Aman Oasis Spa,2024-03-15,Rapid DPC PRO Decal,ea,CAD,0.0,2024-04-09,Paid,Ontario Beauty,Default part family,Canada,Nellie Mahravan,True
SO24000221,MRK00900_PROrev.001ww,1,1,0.0,0.0,101864,Delluxe Beauty Bar,2024-03-18,Rapid DPC PRO Decal,ea,CAD,0.0,2024-04-15,Confirmed,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000221,MRK00982.CA,1,1,0.0,0.0,101864,Delluxe Beauty Bar,2024-03-18,Rapid DPC Rollup Banner,ea,CAD,0.0,2024-04-15,Confirmed,Ontario Beauty,Marketing Parts,Canada,Sabah Shaikh,True
SO24000223,MRK00900_PROrev.001ww,1,1,0.0,0.0,101771,Esthetique Johanne Benoit,2024-03-18,Rapid DPC PRO Decal,ea,CAD,0.0,2024-04-18,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000223,MRK00982DPCPRO CA,1,1,0.0,0.0,101771,Esthetique Johanne Benoit,2024-03-18,Rapid Pro Roll Up Banner Eng,ea,CAD,0.0,2024-04-18,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000231,Shipping Canada,1,1,300.0,300.0,101430,Barelavie Laser Clinic,2024-03-21,Shipping and handling,ea,CAD,300.0,2024-03-21,Confirmed,British Columbia,Default part family,Canada,General,True
SO24000241,PRD-00100R,-2,-1,-845.0,-422.5,100521,Canadian Beauty College - Newmarket,2024-03-26,HR635/6.4 cooling hand piece Round,ea,CAD,-845.0,2024-03-26,Confirmed,Ontario Beauty,Used Handle,Canada,General,True
SO24000246,MRK00900_PROrev.001ww,1,1,0.0,0.0,101866,Les Audacieuses Salon D'Esthetique,2024-03-27,Rapid DPC PRO Decal,ea,CAD,0.0,2024-03-28,Paid,Quebec,Default part family,Canada,Marie-Eve Levesque,True
SO24000246,MRK00982.CA,1,1,0.0,0.0,101866,Les Audacieuses Salon D'Esthetique,2024-03-27,Rapid DPC Rollup Banner,ea,CAD,0.0,2024-03-28,Paid,Quebec,Marketing Parts,Canada,Marie-Eve Levesque,True
SO24000247,Shipping Ontario,1,1,75.65,75.65,100574,R Spa,2024-03-28,Shipping and handling,ea,CAD,75.65,2024-03-28,Confirmed,Ontario EAST,Default part family,Canada,Deanna Minato,True
SO24000250,MRK00900_PROrev.001ww,1,1,0.0,0.0,101875,Laser Bunny,2024-04-01,Rapid DPC PRO Decal,ea,CAD,0.0,2024-04-16,Paid,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000250,MRK00982.CA,1,1,0.0,0.0,101875,Laser Bunny,2024-04-01,Rapid DPC Rollup Banner,ea,CAD,0.0,2024-04-16,Paid,Ontario Beauty,Marketing Parts,Canada,Sabah Shaikh,True
SO24000252,New Hire Training,1,1,0.0,0.0,101829,Beauty Palace Salon Spa & Laser,2024-04-02,New Hire Training,ea,CAD,0.0,2024-04-24,Confirmed,Ontario Beauty,Default part family,Canada,Nellie Mahravan,True
SO24000252,PRD-DPC-HR635,1,1,4425.0,4425.0,101829,Beauty Palace Salon Spa & Laser,2024-04-02,Hand Piece 6.4/635 Hair Removal,ea,CAD,4425.0,2024-04-24,Confirmed,Ontario Beauty,Handles,Canada,Nellie Mahravan,True
SO24000252,Poster S3 Omnimax,1,1,0.0,0.0,101829,Beauty Palace Salon Spa & Laser,2024-04-02,Poster S3 Omnimax,ea,CAD,0.0,2024-04-24,Confirmed,Ontario Beauty,Default part family,Canada,Nellie Mahravan,True
SO24000262,Poster Omnimax S4,1,1,0.0,0.0,101871,Anderson College BC O/A 139K Robetech Institute,2024-04-05,Poster Omnimax S4,ea,CAD,0.0,2024-04-08,Confirmed,Ontario Beauty,Default part family,Canada,Michelle Boudreau,True
SO24000269,Train-1,2,2,1125.0,1125.0,101257,The Floating Lotus Laser & Skin Care Ltd.,2024-04-09,Training & Certification,ea,CAD,375.0,2024-11-06,Confirmed,British Columbia,Default part family,Canada,Kathy Brar,True
SO24000275,MRK00900_PROrev.001ww,1,1,0.0,0.0,101873,Flawless Glow Aethetics,2024-04-10,Rapid DPC PRO Decal,ea,CAD,0.0,2024-05-28,Confirmed,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000275,PRD-DPC-SR580,1,0,4425.0,0.0,101873,Flawless Glow Aethetics,2024-04-10,Hand Piece 3.4/580 Skin Rejuvenation,ea,CAD,4425.0,2024-05-28,Confirmed,Ontario Beauty,Handles,Canada,Sabah Shaikh,True
SO24000276,Train-1,1,1,500.0,500.0,101482,Club Well Inc,2024-04-10,Training & Certification,ea,CAD,500.0,2024-04-10,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000279,8-900,-1,-1,-890.0,-890.0,100487,Beauty Trends (Nail Trends),2024-04-12,HR 635/6.4 cooling hand piece,ea,CAD,-890.0,2024-04-12,Confirmed,British Columbia,Handles,Canada,General,True
SO24000288,OmniMaxBPR-BPRMaintWar,2,2,11040.0,11040.0,9o,Pure + Simple (King),2024-04-16,OMNIMAX Bumper-Bumper Maint - 1 Year Warranty,ea,CAD,11040.0,2024-04-16,Confirmed,Ontario WEST,Warranty,Canada,General,True
SO24000297,PRD-DPC-HR635,-1,-1,-900.0,-900.0,101182,Reesha Beauty Inc.,2024-04-17,Hand Piece 6.4/635 Hair Removal,ea,CAD,-900.0,2024-04-17,Confirmed,Ontario Beauty,Handles,Canada,General,True
SO24000300,Train-1,1,1,750.0,750.0,101454,Sugar Me Right!,2024-04-17,Training & Certification,ea,CAD,750.0,2024-04-17,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000301,OmniMaxBPR-BPRMaintWar,2,2,11040.0,11040.0,101232,Pure + Simple (Oakville),2024-04-17,OMNIMAX Bumper-Bumper Maint - 1 Year Warranty,ea,CAD,11040.0,2024-04-17,Confirmed,Ontario Beauty,Warranty,Canada,Deanna Minato,True
SO24000302,OmniMaxBPR-BPRMaintWar,2,2,11040.0,11040.0,101035,Pure + Simple (Yonge & Eglinton),2024-04-17,OMNIMAX Bumper-Bumper Maint - 1 Year Warranty,ea,CAD,11040.0,2024-04-17,Confirmed,Ontario Beauty,Warranty,Canada,Deanna Minato,True
SO24000303,Train-1,1,1,375.0,375.0,101690,Glow Beauty Bar,2024-04-17,Training & Certification,ea,CAD,375.0,2024-04-17,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000305,PRD-DPC-HR635R,-1,-1,-900.0,-900.0,101027,Sydney Delgarno (Green Tea With Me Esthetics),2024-04-17,HR635 Hand Piece,ea,CAD,-900.0,2024-04-17,Confirmed,Ontario WEST,Used Handle,Canada,General,True
SO24000312,Train-1,2,2,2500.0,2500.0,100841,Pimp My Nails Plus,2024-04-19,Training & Certification,ea,CAD,2500.0,2024-04-19,Confirmed,Newfoundland,Default part family,Canada,General,True
SO24000320,Shipping Ontario,1,1,0.0,0.0,100285,Roots Hair and Esthetics,2024-04-25,Shipping and handling,ea,CAD,0.0,2024-04-25,Confirmed,Ontario WEST,Default part family,Canada,General,True
SO24000322,PRD-DPC-HR635,-1,-1,-900.0,-900.0,101580,The Rose Room,2024-04-25,Hand Piece 6.4/635 Hair Removal,ea,CAD,-900.0,2024-04-25,Confirmed,Ontario Beauty,Handles,Canada,General,True
SO24000330,PRD-DPC-HR635,-1,-1,-900.0,-900.0,100839,Skinlogic (Bare Naked Beauty),2024-04-26,Hand Piece 6.4/635 Hair Removal,ea,CAD,-900.0,2024-04-26,Confirmed,Ontario Beauty,Handles,Canada,General,True
SO24000336,Poster S3 Omnimax,1,1,0.0,0.0,101882,Clinique Medical Delta Sante,2024-04-30,Poster S3 Omnimax,ea,CAD,0.0,2024-05-02,Confirmed,Quebec,Default part family,Canada,Kim Benisty,True
SO24000336,SL TOTAL MARKETING,5,3,32805.0,19683.0,101882,Clinique Medical Delta Sante,2024-04-30,SL TOTAL MARKETING PACKAGE,ea,CAD,32805.0,2024-05-02,Confirmed,Quebec,Default part family,Canada,Kim Benisty,True
SO24000341,PRD-DPC-HR635,1,1,4602.0,4602.0,101891,Beauty Aesthetics 2860920 Ontario Inc,2024-05-01,Hand Piece 6.4/635 Hair Removal,ea,CAD,4602.0,2024-05-16,Confirmed,Ontario Beauty,Handles,Canada,Sabah Shaikh,True
SO24000342,Poster Omnimax S4,1,1,0.0,0.0,101484,Nuphoria Laser & Esthetics,2024-05-01,Poster Omnimax S4,ea,CAD,0.0,2024-11-13,Paid,Nova Scotia,Default part family,Canada,Michelle Boudreau,True
SO24000349,000,-1,-1,-900.0,-900.0,101014,Indulge Esthetics and Wellness,2024-05-03,Rebate - RT22000085 HR635-20-12-01,ea,CAD,-900.0,2024-05-03,Confirmed,Ontario WEST,Default part family,Canada,General,True
SO24000352,Train-1,2,2,0.0,0.0,100973,Permanently You,2024-05-07,Training & Certification,ea,CAD,0.0,2024-05-07,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000364,Train-1,2,2,1500.0,1500.0,101273,La Bella Beauty,2024-05-09,Training & Certification,ea,CAD,1500.0,2024-05-09,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000371,Train-1,1,1,500.0,500.0,100824,York Street Spa Inc.,2024-05-13,Training & Certification,ea,CAD,500.0,2024-05-14,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000373,Train-1,3,3,1875.0,1875.0,100079,Gee Beauty,2024-05-13,Training & Certification,ea,CAD,375.0,2024-05-13,Confirmed,Ontario WEST,Default part family,Canada,General,True
SO24000377,Poster S3 Omnimax,1,1,0.0,0.0,101895,Wildflower Beauty Studio (Nails by Angela),2024-05-15,Poster S3 Omnimax,ea,CAD,0.0,2024-05-16,Paid,Nova Scotia,Default part family,Canada,Michelle Boudreau,True
SO24000384,QS Regular Warranty,2,2,0.0,0.0,101894,Tattoo Lore Inc.,2024-05-16,Rapid QS Additional Year Regular Warranty,ea,CAD,0.0,2024-05-28,Confirmed,Ontario Beauty,Warranty,Canada,Sabah Shaikh,True
SO24000384,Roll Up Rapid QS,1,1,0.0,0.0,101894,Tattoo Lore Inc.,2024-05-16,Roll Up Rapid QS,ea,CAD,0.0,2024-05-28,Confirmed,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000391,MRK00900_PROrev.001ww,1,1,0.0,0.0,101892,JAD Laser Skin Solutions,2024-05-17,Rapid DPC PRO Decal,ea,CAD,0.0,2024-06-21,Paid,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000392,Train-1,1,1,1250.0,1250.0,100514,Awega Hair salon and spa,2024-05-21,Training & Certification,ea,CAD,1250.0,2024-05-24,Confirmed,Alberta,Default part family,Canada,General,True
SO24000396,Poster S3 Omnimax,1,1,0.0,0.0,101885,Laser and Skincare Beauty,2024-05-21,Poster S3 Omnimax,ea,CAD,0.0,2024-05-29,Confirmed,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000397,000,1,1,0.0,0.0,101876,Derma-Cure,2024-05-22,user DPC Goggles 420-790 ( DPC Shade 3),ea,CAD,0.0,2024-05-29,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000397,Poster S3 Omnimax,1,1,0.0,0.0,101876,Derma-Cure,2024-05-22,Poster S3 Omnimax,ea,CAD,0.0,2024-05-29,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000400,PRD-DPC-HR635,-1,-1,-900.0,-900.0,101124,Ilume Wellness (Pretty Sweet),2024-05-22,Hand Piece 6.4/635 Hair Removal,ea,CAD,-900.0,2024-05-22,Confirmed,New Brunswick,Handles,Canada,General,True
SO24000402,000,-1,-1,-1590.0,-1590.0,101592,Toronto Men's Waxing Clinic,2024-05-22,Rebate defective HP return HR635-22-06-06,ea,CAD,-1590.0,2024-05-22,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000405,Poster S3 Omnimax,1,1,0.0,0.0,101900,Glow by Rita,2024-05-22,Poster S3 Omnimax,ea,CAD,0.0,2024-05-28,Paid,Alberta,Default part family,Canada,Kathie Abou-Mechrek,True
SO24000409,000,-1,-1,-623.0,-623.0,101221,Infinity Laser Spa Inc.,2024-05-24,Rebate HR Return through SC230001091,ea,CAD,-623.0,2024-05-24,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000411,Recertification,1,1,12500.0,12500.0,101904,Sam's Aesthetics Laser Medspa and Hair Salon,2024-05-27,Recertification,ea,CAD,12500.0,2024-11-06,Confirmed,Ontario Beauty,Default part family,Canada,Sanoja Desa,True
SO24000414,Poster Omnimax S4,1,1,0.0,0.0,101901,Youthful Visage & Esthetics,2024-05-28,Poster Omnimax S4,ea,CAD,0.0,2024-05-29,Paid,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000420,Poster S3 Omnimax,1,1,0.0,0.0,101893,Lucare Skin Beauty Hub,2024-05-29,Poster S3 Omnimax,ea,CAD,0.0,2024-05-31,Paid,British Columbia,Default part family,Canada,Michelle Boudreau,True
SO24000424,DPC Yearly Warranty,1,1,3510.0,3510.0,101824,Sapna's Beauty Salon,2024-05-30,DPC Bumper to Bumper Maint - 1 year Warranty,ea,CAD,3510.0,2024-05-30,Confirmed,British Columbia,Warranty,Canada,General,True
SO24000424,PRD-DPC-HR635R,1,1,4779.0,4779.0,101824,Sapna's Beauty Salon,2024-05-30,HR635 Hand Piece,ea,CAD,4779.0,2024-05-30,Confirmed,British Columbia,Used Handle,Canada,General,True
SO24000424,Shipping Canada,1,1,89.0,89.0,101824,Sapna's Beauty Salon,2024-05-30,Shipping and handling,ea,CAD,89.0,2024-05-30,Confirmed,British Columbia,Default part family,Canada,General,True
SO24000424,Train-1,1,1,750.0,750.0,101824,Sapna's Beauty Salon,2024-05-30,Training & Certification,ea,CAD,750.0,2024-05-30,Confirmed,British Columbia,Default part family,Canada,General,True
SO24000425,PRD-DPC-HR635,1,1,4720.0,4720.0,101891,Beauty Aesthetics 2860920 Ontario Inc,2024-05-30,Hand Piece 6.4/635 Hair Removal,ea,CAD,4720.0,2024-05-30,Paid,Ontario Beauty,Handles,Canada,Sabah Shaikh,True
SO24000425,Poster Rapid Vanish,1,1,0.0,0.0,101891,Beauty Aesthetics 2860920 Ontario Inc,2024-05-30,Poster Rapid Vanish,ea,CAD,0.0,2024-05-30,Paid,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000425,Roll Up Rapid Vanish,1,1,0.0,0.0,101891,Beauty Aesthetics 2860920 Ontario Inc,2024-05-30,Roll Up Rapid Vanish,ea,CAD,0.0,2024-05-30,Paid,Ontario Beauty,Default part family,Canada,Sabah Shaikh,True
SO24000425,Vanish Regular Warrant,2,2,0.0,0.0,101891,Beauty Aesthetics 2860920 Ontario Inc,2024-05-30,Rapid Vanish Additional Year Regular Warranty,ea,CAD,0.0,2024-05-30,Paid,Ontario Beauty,Warranty,Canada,Sabah Shaikh,True
SO24000433,Poster Omnimax S4,1,1,0.0,0.0,101346,Sue's Pure Laser YYC,2024-06-03,Poster Omnimax S4,ea,CAD,0.0,2024-06-10,Paid,Alberta,Default part family,Canada,Kathie Abou-Mechrek,True
SO24000435,Poster S3 Omnimax,1,1,0.0,0.0,101907,Bonita Beauty Studio,2024-06-03,Poster S3 Omnimax,ea,CAD,0.0,2024-07-10,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000437,000,1,1,199.0,199.0,100994,Blush Medispa Catelgar (Nanaimo),2024-06-04,admin fee,ea,CAD,199.0,2024-06-04,Confirmed,British Columbia,Default part family,Canada,General,True
SO24000437,PRD-DPC-HR635R,1,1,5310.0,5310.0,100994,Blush Medispa Catelgar (Nanaimo),2024-06-04,HR635 Hand Piece,ea,CAD,5310.0,2024-06-04,Confirmed,British Columbia,Used Handle,Canada,General,True
SO24000437,Shipping Canada,1,1,129.0,129.0,100994,Blush Medispa Catelgar (Nanaimo),2024-06-04,Shipping and handling,ea,CAD,129.0,2024-06-04,Confirmed,British Columbia,Default part family,Canada,General,True
SO24000438,PRD-DPC-HR635R,-1,-1,-900.0,-900.0,100994,Blush Medispa Catelgar (Nanaimo),2024-06-04,HR635 Hand Piece,ea,CAD,-900.0,2024-06-04,Confirmed,British Columbia,Used Handle,Canada,General,True
SO24000444,Train-1,1,1,375.0,375.0,101718,Milk and Honey Beauty Studio,2024-06-07,Training & Certification,ea,CAD,375.0,2024-06-07,Confirmed,Alberta,Default part family,Canada,General,True
SO24000447,Poster S3 Omnimax,1,1,0.0,0.0,101908,Glowing Skin Laser Studio,2024-06-07,Poster S3 Omnimax,ea,CAD,0.0,2024-06-17,Paid,Ontario Beauty,Default part family,Canada,Michelle Boudreau,True
SO24000450,MRK00900_PROrev.001ww,1,1,0.0,0.0,101880,Esthetique Lisianne Fontaine,2024-06-10,Rapid DPC PRO Decal,ea,CAD,0.0,2024-08-20,Confirmed,Quebec,Default part family,Canada,Kim Benisty,True
SO24000450,Roll Up Rapid DPC,1,1,0.0,0.0,101880,Esthetique Lisianne Fontaine,2024-06-10,Roll Up Rapid DPC,ea,CAD,0.0,2024-08-20,Confirmed,Quebec,Default part family,Canada,Kim Benisty,True
SO24000464,000,1,1,299.0,299.0,100954,Top Layer Corp,2024-06-13,Admin fee,ea,CAD,299.0,2024-06-13,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000464,PRD-DPC-HR635,1,1,6900.0,6900.0,100954,Top Layer Corp,2024-06-13,Hand Piece 6.4/635 Hair Removal,ea,CAD,6900.0,2024-06-13,Confirmed,Ontario Beauty,Handles,Canada,General,True
SO24000464,Shipping Canada,1,1,129.0,129.0,100954,Top Layer Corp,2024-06-13,Shipping and handling,ea,CAD,129.0,2024-06-13,Confirmed,Ontario Beauty,Default part family,Canada,General,True
SO24000465,PRD-DPC-HR635,-1,-1,-1000.0,-1000.0,100954,Top Layer Corp,2024-06-13,Hand Piece 6.4/635 Hair Removal,ea,CAD,-1000.0,2024-06-13,Confirmed,Ontario Beauty,Handles,Canada,General,True
SO24000466,MRK 00894 rev 002.ww,100,100,0.0,0.0,101791,Inkit Laser Studio,2024-06-13,Tattoo Removal ND:YAG QS Patient Brochures,ea,CAD,0.0,2024-11-06,Confirmed,Ontario Beauty,Default part family,Canada,General,True
